a1.mdt.akamai.csd.disa.mil,214.48.32.24
centi05230.disa.mil,164.117.5.230
centi05231.disa.mil,164.117.5.231
centi05240.disa.mil,164.117.5.240
centi05241.disa.mil,164.117.5.241
centi05250.disa.mil,164.117.5.250
centralpki.csd.disa.mil,156.112.99.34
ceweb.nit.disa.mil,192.152.18.68
cfadminweb1.disa.mil,156.112.106.14
cfadminweb2.disa.mil,156.112.108.42
chagos.disa.mil,209.22.124.156
churchill.disa.mil,214.36.251.87
cloudservices.disa.mil,156.112.170.157
clyde.disa.mil,164.117.144.159
cm-abb.csd.disa.mil,156.112.76.59
cm-abb.mont.disa.mil,156.112.76.59
cmet.csd.disa.mil,214.21.88.56
cmis.disa.mil,158.15.127.88
cmiscoop.disa.mil,209.22.79.100
cmistest.disa.mil,214.36.3.133
cms.disa.mil,152.229.78.69
cobra.csd.disa.mil,156.112.100.22
colcs1.disa.mil,164.235.4.4
colcs2.disa.mil,164.235.4.5
columbia.disa.mil,198.49.191.84
configdevobiee.dai.csd.disa.mil,156.112.83.146
configrpt-obiee.dai.csd.disa.mil,156.112.83.133
configrpt-obiee11.dai.csd.disa.mil,156.112.83.180
configrpt.dai.csd.disa.mil,156.112.83.150
configsat.dai.csd.disa.mil,156.112.83.128
configsqt.dai.csd.disa.mil,156.112.83.143
control.akamai.csd.disa.mil,214.48.20.37
coop-dfasde.csd.disa.mil,164.235.41.214
coop.dai.csd.disa.mil,156.112.83.170
corse.disa.mil,209.22.124.167
cpars.csd.disa.mil,156.112.99.30
create.disa.mil,207.132.122.72
cris.ogden.disa.mil,131.77.61.126
crisadmin.ogden.disa.mil,131.77.61.117
crisfmweb.ogden.disa.mil,131.77.61.116
crl.chamb.disa.mil,156.112.110.122
crl.disa.mil,104.111.243.130
crl.gds.disa.mil,156.112.110.122
crl.nit.disa.mil,192.152.18.221
crl2.gds.disa.mil,156.112.110.122
crna.disa.mil,199.10.82.118
crocgr44100.disa.mil,215.1.44.100
crocgr44101.disa.mil,215.1.44.101
crocgr4411.disa.mil,215.1.44.11
crocgr44110.disa.mil,215.1.44.110
crocgr44111.disa.mil,215.1.44.111
crocgr44120.disa.mil,215.1.44.120
crocgr44121.disa.mil,215.1.44.121
crocgr44130.disa.mil,215.1.44.130
crocgr44131.disa.mil,215.1.44.131
crocgr44140.disa.mil,215.1.44.140
crocgr44141.disa.mil,215.1.44.141
crocgr44150.disa.mil,215.1.44.150
crocgr44151.disa.mil,215.1.44.151
crocgr44159.disa.mil,215.1.44.159
crocgr44160.disa.mil,215.1.44.160
crocgr44170.disa.mil,215.1.44.170
crocgr44180.disa.mil,215.1.44.180
crocgr44190.disa.mil,215.1.44.190
crocgr4420.disa.mil,215.1.44.20
crocgr44200.disa.mil,215.1.44.200
crocgr44201.disa.mil,215.1.44.201
crocgr4421.disa.mil,215.1.44.21
crocgr44210.disa.mil,215.1.44.210
crocgr44211.disa.mil,215.1.44.211
crocgr44220.disa.mil,215.1.44.220
crocgr44221.disa.mil,215.1.44.221
crocgr44230.disa.mil,215.1.44.230
crocgr44231.disa.mil,215.1.44.231
crocgr44240.disa.mil,215.1.44.240
crocgr44241.disa.mil,215.1.44.241
crocgr44250.disa.mil,215.1.44.250
crocgr44251.disa.mil,215.1.44.251
crocgr4430.disa.mil,215.1.44.30
crocgr4431.disa.mil,215.1.44.31
crocgr4440.disa.mil,215.1.44.40
crocgr4441.disa.mil,215.1.44.41
crocgr4450.disa.mil,215.1.44.50
crocgr4451.disa.mil,215.1.44.51
crocgr4460.disa.mil,215.1.44.60
crocgr4470.disa.mil,215.1.44.70
crocgr4480.disa.mil,215.1.44.80
crocgr4490.disa.mil,215.1.44.90
cross.disa.mil,152.229.78.72
csd-dads.csd.disa.mil,156.112.76.60
csg1.csd.disa.mil,156.112.99.57
ctep.csr.disa.mil,165.117.235.186
ctoblog.disa.mil,156.112.108.59
ctrlem.csd.disa.mil,164.235.44.229
ctrlemg.csd.disa.mil,164.235.76.230
customersat.disa.mil,152.229.146.32
dashboard.cfe.disa.mil,156.112.108.49
dashboard.disa.mil,152.229.78.58
dataxfer.csd.disa.mil,156.112.99.217
dateline.disa.mil,156.112.108.59
dcast.csd.disa.mil,156.112.100.160
ddsf.disadirect.disa.mil,156.112.115.55
deams.csd.disa.mil,156.112.78.48
deamsbpel.csd.disa.mil,156.112.78.45
deamsbpelints.csd.disa.mil,156.112.78.51
deamsbpelintsmont.csd.disa.mil,156.112.78.51
deamsbpelintsmontpp.csd.disa.mil,156.112.78.41
deamsbpelintsogden.csd.disa.mil,156.112.94.51
deamsbpelintsogdenpp.csd.disa.mil,156.112.94.41
deamsbpelintspp.csd.disa.mil,156.112.78.41
deamsbpelmont.csd.disa.mil,156.112.78.45
deamsbpelmontpp.csd.disa.mil,156.112.78.35
deamsbpelogden.csd.disa.mil,156.112.94.45
deamsbpelogdenpp.csd.disa.mil,156.112.94.35
deamsbpelpp.csd.disa.mil,156.112.78.35
deamsdisco.csd.disa.mil,156.112.78.46
